,SMILE,Compound
183,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(N(C(OC(C)(C)C)=O)C2)C=C(C4=CC=C(N5C(OCC5)=O)N=C4)C=C3,40
184,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(NC2)C=C(C4=CC=C(N5C(OCC5)=O)N=C4)C=C3,41
185,O=C1O[C@@H](CNC(C)=S)[C@H]2N1C3=C(SC2)C=C(C4=CC=C(N5C(OCC5)=O)N=C4)C=C3,42
186,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CCN(C([C@@H](O)CO)=O)CC4)C(F)=C3,43a
187,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CCN(C(C5CC5)=O)CC4)C(F)=C3,43b
188,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CCN(C(C5CCCC5)=O)CC4)C(F)=C3,43c
189,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CCN(C([C@@H]5CCCO5)=O)CC4)C(F)=C3,43d
190,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CCN(C(CO)=O)CC4)C(F)=C3,43e
191,O=C1O[C@@H](CNC(C)=O)[C@H]2N1C3=C(OC2)C=C(C4=CCN(C(CO)=O)CC4)C([H])=C3,43f
192,O=C1O[C@@H](CNC(C(F)(F)F)=O)[C@H]2N1C3=C(OC2)C=C(C4=CCN(C(CO)=O)CC4)C(F)=C3,44a
193,O=C1O[C@@H](CNC(C2CC2)=O)[C@H]3N1C4=C(OC3)C=C(C5=CCN(C(CO)=O)CC5)C(F)=C4,44b
